id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2588660-A,Request and response protocol using blockchain transactions ,Nchain Holdings Ltd,"Mackay Alexander, Tartan Chloe, Wahab Jad, Serguieva Antoaneta, Steven Wright Craig",31/10/2019,31/10/2019,05/05/2021,,https://patents.google.com/patent/GB2588660A/en,
GB-2587202-A,Allocation of a digital asset using blockchain transactions ,Nchain Holdings Ltd,"Tartan Chloe, Steven Wright Craig",17/09/2019,17/09/2019,24/03/2021,,https://patents.google.com/patent/GB2587202A/en,
GB-2581860-A,Blockchain wallet ,Steel Software Solutions Ltd,Amin Nurul,16/07/2019,16/07/2019,02/09/2020,,https://patents.google.com/patent/GB2581860A/en,
GB-2584347-A,Inter-ontology mapping process for distributed ledger technologies ,British Telecomm,Pioli Moro Evandro,31/05/2019,31/05/2019,02/12/2020,,https://patents.google.com/patent/GB2584347A/en,
GB-2615820-A,Data exchange attestation method ,Nchain Licensing Ag,"Burns Alec, Steven Wright Craig",22/02/2022,22/02/2022,23/08/2023,,https://patents.google.com/patent/GB2615820A/en,
GB-2615595-A,Identity-linked blockchain addresses ,Nchain Licensing Ag,"Burns Alec, Steven Wright Craig",15/02/2022,15/02/2022,16/08/2023,,https://patents.google.com/patent/GB2615595A/en,
GB-2615596-A,Blockchain-implemented hash function ,Nchain Licensing Ag,"Zhang Wei, Burns Alec, Steven Wright Craig",15/02/2022,15/02/2022,16/08/2023,,https://patents.google.com/patent/GB2615596A/en,
GB-2615965-A,Automated merge of DLT networks ,Ibm,"Ramakrishna Venkatraman, Jayachandran Praveen, K Behl Dushyant, Pandit Vinayaka, Karunamoorthy Dileban, Abebe Ermyas",01/12/2020,28/10/2021,23/08/2023,,https://patents.google.com/patent/GB2615965A/en,
GB-2566591-A,Dynamic currency conversion system and method ,Currency Select Pty Ltd,Michael Ling James,18/07/2018,18/07/2018,20/03/2019,,https://patents.google.com/patent/GB2566591A/en,
GB-2567186-A,A method and system for authenticating a product ,Sherlock Charlie,Sherlock Charlie,05/10/2017,05/10/2017,10/04/2019,,https://patents.google.com/patent/GB2567186A/en,
GB-2478567-A,Digital image management and distribution system ,Mark Adrian Habgood,Mark Adrian Habgood,10/03/2010,10/03/2010,14/09/2011,,https://patents.google.com/patent/GB2478567A/en,
GB-201003948-D0,Digital image management and distribution system ,Habgood Mark A,,10/03/2010,10/03/2010,21/04/2010,,https://patents.google.com/patent/GB201003948D0/en,
GB-2615081-A,Elliptic curve arithmetic in script ,Nchain Licensing Ag,Larraia Enrique,26/01/2022,26/01/2022,02/08/2023,,https://patents.google.com/patent/GB2615081A/en,
GB-2614297-A,Storing and retrieving data associated with an asset ,Rkvst Ltd,"Geater Jonathan, Ahmed Mansoor, Bryce Robin",23/12/2021,23/12/2021,05/07/2023,,https://patents.google.com/patent/GB2614297A/en,
GB-2613584-A,Data structure for orphan transactions ,Nchain Licensing Ag,"Paunoiu Alexandru, Larraia Enrique",07/12/2021,07/12/2021,14/06/2023,,https://patents.google.com/patent/GB2613584A/en,
GB-2612770-A,Decentralised QUBO solver and cryptocurrency generation ,Mastercard International Inc,Mariella Nicola,04/11/2021,04/11/2021,17/05/2023,,https://patents.google.com/patent/GB2612770A/en,
GB-2610375-A,Coordinating peer-to-peer data transfer using blockchain ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",18/08/2021,18/08/2021,08/03/2023,,https://patents.google.com/patent/GB2610375A/en,
GB-2608842-A,Blockchain Blocks & Proof-of-existence ,Nchain Licensing Ag,"Owen Davies Jack, Pettit Michaella, Hove Sigourney, Steven Wright Craig",14/07/2021,14/07/2021,18/01/2023,,https://patents.google.com/patent/GB2608842A/en,
GB-2608840-A,Message exchange system ,Nchain Licensing Ag,"Pan Liuxuan, Steven Wright Craig",13/07/2021,13/07/2021,18/01/2023,,https://patents.google.com/patent/GB2608840A/en,
GB-2608429-A,A new and novel mathematically based bitcoin mining process ,Iannucci Innovation Ltd,Iannucci Lorenzo,01/07/2021,01/07/2021,04/01/2023,,https://patents.google.com/patent/GB2608429A/en,
GB-2601538-A,Methods and systems for compressing transaction identifiers ,Nchain Holdings Ltd,"Charles Rand Ricky, Patrick Coughlan Steven",04/12/2020,04/12/2020,08/06/2022,,https://patents.google.com/patent/GB2601538A/en,
GB-2587497-A,Method and system for evaluating project based on blockchain ,Univ Soonchunhyang Ind Acad Coop Found,"Woo Kim Seung, Geol CHO Jae, Han Lee Sang, Hee Kim Dae, Joo Ryu Sun, Sung Hong Joo",28/08/2019,27/08/2020,31/03/2021,,https://patents.google.com/patent/GB2587497A/en,
GB-2598277-A,Custom transaction scripts ,Nchain Holdings Ltd,"Owen Davies Jack, Ceren Tartan Chloe, Mackay Alex, Serguieva Antoaneta, Steven Wright Craig",12/06/2020,12/06/2020,02/03/2022,,https://patents.google.com/patent/GB2598277A/en,
GB-2595489-A,Probabilistic membership test for blockchain transaction outputs ,Nchain Holdings Ltd,"Pagani Alessio, Steven Wright Craig",28/05/2020,28/05/2020,01/12/2021,,https://patents.google.com/patent/GB2595489A/en,
GB-2593721-A,Method and device for generating random numbers ,Taal Dit Gmbh,David Chan Jerry,31/03/2020,31/03/2020,06/10/2021,,https://patents.google.com/patent/GB2593721A/en,
GB-2587190-A,Storing a program on a blockchain ,Nchain Holdings Ltd,"G Doiron Brock, Steven Wright Craig",12/09/2019,12/09/2019,24/03/2021,,https://patents.google.com/patent/GB2587190A/en,
GB-2582270-A,Transaction verification of distributed ledgers ,British Telecomm,Piolimoro Evandro,06/03/2019,06/03/2019,23/09/2020,,https://patents.google.com/patent/GB2582270A/en,
GB-2615752-A,Attesting to membership of a set ,Nchain Licensing Ag,"Patrick Coughlan Steven, Owen Davies Jack, Zhang Wei",15/02/2022,15/02/2022,23/08/2023,,https://patents.google.com/patent/GB2615752A/en,
GB-2611618-A,"Method for storing data in blockchain, related payment management system and non-transitory computer-readable storage medium ",Keychain Fintech Ltd,Leung Lau Cho,28/01/2021,19/01/2022,12/04/2023,,https://patents.google.com/patent/GB2611618A/en,
GB-2590009-A,A Node Testing Method and Apparatus For a Blockchain System ,Dragon Infosec Ltd,"Matthew Dennis Richard, Huw Owenson Gareth",07/12/2018,07/12/2018,16/06/2021,,https://patents.google.com/patent/GB2590009A/en,
GB-2611538-A,Redacting content from blockchain transaction ,Nchain Licensing Ag,"Sabir Kiraz Mehmet, Owen Davies Jack, Liu Wai",06/10/2021,06/10/2021,12/04/2023,,https://patents.google.com/patent/GB2611538A/en,
GB-2614221-A,Forming peer-to-peer connections using blockchain ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",29/07/2021,29/07/2021,05/07/2023,,https://patents.google.com/patent/GB2614221A/en,
GB-2610559-A,Generating shared cryptographic keys ,Licensing Ag Nchain,"Licensing Ag Nchain, Pettit Michaella, Paunoiu Alexandru, Steven Wright Craig",07/09/2021,07/09/2021,15/03/2023,,https://patents.google.com/patent/GB2610559A/en,
GB-2566734-A,"Wearable device, system and method ",Red Frog Digital Ltd,Mark Loveridge David,25/09/2017,25/09/2017,27/03/2019,,https://patents.google.com/patent/GB2566734A/en,
GB-2612340-A,Sharded Merkle tree ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig, Graham Alexander",28/10/2021,28/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612340A/en,
GB-2612348-A,Distributed energy infrastructure and method ,Sitigrid Ltd,"Reason Adrian, Holt Chris, Igbiovia Emmanuel",29/10/2021,29/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612348A/en,
GB-2614295-A,Methods and systems for recipient-facilitated blockchain transactions ,Nchain Licensing Ag,"Owen Davies Jack, Wahab Jad, Zhang Wei, Smith Mark",23/12/2021,23/12/2021,05/07/2023,,https://patents.google.com/patent/GB2614295A/en,
GB-2615094-A,System and method for securely providing location information of electronic device ,Restrata Solutions Ltd,"Osman Botan, Atlas Jason, Gunaratne Hiran",27/01/2022,27/01/2022,02/08/2023,,https://patents.google.com/patent/GB2615094A/en,
GB-2610902-A,A method of and a system for generating a 3D model of a manufactured product and digital assets therefrom ,Isite Tv Ltd,"Payne Mark, Farthing Fenton, Neal Ian, Cole Matt, Fielder Harry",22/02/2022,27/06/2022,22/03/2023,,https://patents.google.com/patent/GB2610902A/en,
GB-2609194-A,Enforcing conditions on blockchain transactions ,Nchain Licensing Ag,Zhang Wei,19/07/2021,19/07/2021,01/02/2023,,https://patents.google.com/patent/GB2609194A/en,
GB-2609193-A,Enforcing conditions on blockchain transactions ,Nchain Licensing Ag,Zhang Wei,19/07/2021,19/07/2021,01/02/2023,,https://patents.google.com/patent/GB2609193A/en,
GB-2608841-A,Blockchain blocks & proof-of-existence ,Nchain Licensing Ag,"Owen Davies Jack, Pettit Michaella, Hove Sigourney, Steven Wright Craig",14/07/2021,14/07/2021,18/01/2023,,https://patents.google.com/patent/GB2608841A/en,
GB-2608845-A,Blockchain blocks & proof-of-existence ,Nchain Licensing Ag,"Owen Davies Jack, Pettit Michaella, Hove Sigourney, Steven Wright Craig",14/07/2021,14/07/2021,18/01/2023,,https://patents.google.com/patent/GB2608845A/en,
GB-2608844-A,Blockchain blocks & proof-of-existence ,Nchain Licensing Ag,"Owen Davies Jack, Pettit Michaella, Steven Wright Craig, Hove Sigourney",14/07/2021,14/07/2021,18/01/2023,,https://patents.google.com/patent/GB2608844A/en,
GB-2606709-A,PUF device ,Nchain Licensing Ag,"Owen Davies Jack, Steven Wright Craig",12/05/2021,12/05/2021,23/11/2022,,https://patents.google.com/patent/GB2606709A/en,
GB-2601540-A,Methods and systems for synchronizing a streamed template to a solved block ,Nchain Holdings Ltd,"Charles Rand Ricky, Patrick Coughlan Steven",04/12/2020,04/12/2020,08/06/2022,,https://patents.google.com/patent/GB2601540A/en,
GB-2600965-A,Key generation method ,Nchain Holdings Ltd,"Owen Davies Jack, Ordish Simon",13/11/2020,13/11/2020,18/05/2022,,https://patents.google.com/patent/GB2600965A/en,
GB-2600970-A,Key derivation method ,Nchain Holdings Ltd,"Ceren Tartan Chloe, Pettit Michaella, Pagani Alessio, Zhang Wei",13/11/2020,13/11/2020,18/05/2022,,https://patents.google.com/patent/GB2600970A/en,
GB-2599400-A,Physically unclonable functions ,Nchain Holdings Ltd,"Owen Davies Jack, Steven Wright Craig",30/09/2020,30/09/2020,06/04/2022,,https://patents.google.com/patent/GB2599400A/en,
GB-2598301-A,Alert account ,Nchain Holdings Ltd,"Pan Liuxuan, Tartan Chloe, Steven Wright Craig",21/08/2020,21/08/2020,02/03/2022,,https://patents.google.com/patent/GB2598301A/en,
GB-2593779-A,Methods and devices for double-spend relay in a blockchain network ,Nchain Licensing Ag,Patrick Coughlan Steven,03/04/2020,03/04/2020,06/10/2021,,https://patents.google.com/patent/GB2593779A/en,
GB-2587201-A,Multi-criteria blockchain protocol ,Nchain Holdings Ltd,"Joseph Daniel, James Mee Andrew, Steven Wright Craig",17/09/2019,17/09/2019,24/03/2021,,https://patents.google.com/patent/GB2587201A/en,
GB-2585081-A,"System, apparatus and method for controlling networked devices ",Signagelive Ltd,benson Marc,28/06/2019,28/06/2019,30/12/2020,,https://patents.google.com/patent/GB2585081A/en,
GB-2615528-A,Computer implemented systems and methods ,Elas Holdings PTY LTD,Lee Brendan,07/02/2022,07/02/2022,16/08/2023,,https://patents.google.com/patent/GB2615528A/en,
GB-2610559-A8,Generating shared cryptographic keys ,Nchain Licensing Ag,"Pettit Michaella, Paunoiu Alexandru, Steven Wright Craig",07/09/2021,07/09/2021,05/04/2023,,https://patents.google.com/patent/GB2610559A8/en,
GB-2614969-A,Method for authenticating digital content items with blockchain and writing digital content items data to blockchain ,Banh Richard,Banh Richard,27/06/2020,15/06/2021,26/07/2023,,https://patents.google.com/patent/GB2614969A/en,
GB-2576582-A,Biometric security for electronic wallets ,Gigzi S A,El Asmar Xxx,23/08/2018,15/10/2018,26/02/2020,,https://patents.google.com/patent/GB2576582A/en,
GB-2608741-A,Computing system for configurable off-chain storage for blockchains ,Hyland Software Inc,"York Scott, Caesar Scott, Babic Sam",27/03/2020,26/02/2021,11/01/2023,,https://patents.google.com/patent/GB2608741A/en,
GB-2598984-A,Digital product virtual transaction method and system ,Jiangsu Aowei Holdings Co Ltd,Bai Jie,21/09/2020,15/06/2021,23/03/2022,,https://patents.google.com/patent/GB2598984A/en,
GB-2599085-A,QUIC transactions ,Nchain Holdings Ltd,"Pagani Alessio, Kristensen Brad",15/09/2020,15/09/2020,30/03/2022,,https://patents.google.com/patent/GB2599085A/en,
GB-2612769-A,Authenticating a device ,Vodafone Group Services Ltd,Poschke Nils,03/11/2021,03/11/2021,17/05/2023,,https://patents.google.com/patent/GB2612769A/en,
GB-2603030-A,"Computer-readable recording medium storing information processing program, information processing method and information processing apparatus ",Fujitsu Ltd,Taniguchi Tsuyoshi,20/01/2021,27/10/2021,27/07/2022,,https://patents.google.com/patent/GB2603030A/en,
GB-2611325-A,Propagating locking scripts ,Nchain Licensing Ag,"Pettit Michaella, Patrick Coughlan Steven",30/09/2021,30/09/2021,05/04/2023,,https://patents.google.com/patent/GB2611325A/en,
GB-2611321-A,Message scheduling for cryptographic hashing ,Quantum Blockchain Tech Plc,Naik Rahul,29/09/2021,29/09/2021,05/04/2023,,https://patents.google.com/patent/GB2611321A/en,
GB-2611084-A,A security system ,Custodiex Ltd,John Sumner Michael,27/09/2021,27/09/2021,29/03/2023,,https://patents.google.com/patent/GB2611084A/en,
GB-2603589-A,Consensus algorithm for distributed ledger technology ,Ibm,"Stanislaw Filipek Bartlomiej, Snopczynski Maciej, Zarakowski Michal, Oleszek Karol",08/12/2020,23/11/2021,10/08/2022,,https://patents.google.com/patent/GB2603589A/en,
GB-2607593-A,Method and system for data sanitisation ,British Telecomm,"Abu-Tair Mamum, Perry Philip, Varghese Blesson, Hossien Zoulfaghari Mohammad",07/06/2021,07/06/2021,14/12/2022,,https://patents.google.com/patent/GB2607593A/en,
GB-2607282-A,Custody service for authorising transactions ,The Blockhouse Tech Limited,"Antonino Pedro, Derek Ante, Hecimovic Tomislav, Matijasevic Mario, Novoselac Vedran, Vidakovic Ivan",21/05/2021,21/05/2021,07/12/2022,,https://patents.google.com/patent/GB2607282A/en,
GB-2606731-A,System and method for managing purchase of a real estate property ,Goview Today Ltd,Thomas John Parker Daniel,18/05/2021,18/05/2021,23/11/2022,,https://patents.google.com/patent/GB2606731A/en,
GB-2606196-A,Subtree-based storage and retrieval of merkle tree data ,Nchain Licensing Ag,"Patrick Coughlan Steven, Zhang Wei",29/04/2021,29/04/2021,02/11/2022,,https://patents.google.com/patent/GB2606196A/en,
GB-2606194-A,Methods and devices for pruning stored merkle tree data ,Nchain Licensing Ag,"Patrick Coughlan Steven, Zhang Wei",29/04/2021,29/04/2021,02/11/2022,,https://patents.google.com/patent/GB2606194A/en,
GB-2607862-A,Distributed computer system for management of service request and method of operation thereof ,Uvue Ltd,"Munir Sheikh Humayun, William Simpson Toby",20/04/2021,20/04/2021,21/12/2022,,https://patents.google.com/patent/GB2607862A/en,
GB-2601998-A,Delivering hash valves ,Taal Dit Gmbh,David Chan Jerry,10/12/2020,10/12/2020,22/06/2022,,https://patents.google.com/patent/GB2601998A/en,
GB-2601539-A,Methods and systems for streaming block templates with cross-references ,Nchain Holdings Ltd,"Charles Rand Ricky, Patrick Coughlan Steven",04/12/2020,04/12/2020,08/06/2022,,https://patents.google.com/patent/GB2601539A/en,
GB-2602443-A,Methods and apparatus for dispensing meals ,Rita Kanu Ifeyinwa,Rita Kanu Ifeyinwa,30/10/2020,30/10/2020,06/07/2022,,https://patents.google.com/patent/GB2602443A/en,
GB-2600140-A,An apparatus and method for verifying electronic records ,Sita Information Networking Computing Uk Ltd,"Sanglier Adrien, Shedden Rowan, John McLaughlin Barry",22/10/2020,22/10/2020,27/04/2022,,https://patents.google.com/patent/GB2600140A/en,
GB-2599408-A,Physically unclonable functions ,Nchain Holdings Ltd,"Owen Davies Jack, Steven Wright Craig",30/09/2020,30/09/2020,06/04/2022,,https://patents.google.com/patent/GB2599408A/en,
GB-2599398-A,Physically unclonable functions ,Nchain Holdings Ltd,"Owen Davies Jack, Steven Wright Craig",30/09/2020,30/09/2020,06/04/2022,,https://patents.google.com/patent/GB2599398A/en,
GB-2599168-A,Identifying derivatives of data items ,British Telecomm,"Roscoe Jonathan, Hercock Robert",29/09/2020,29/09/2020,30/03/2022,,https://patents.google.com/patent/GB2599168A/en,
GB-2612798-A,Distributed ledger system ,Ecoradlt Ltd,"Chan David, Whelan Tom",11/11/2021,11/11/2021,17/05/2023,,https://patents.google.com/patent/GB2612798A/en,
GB-2598714-A,Bio-locked seed ,Nchain Holdings Ltd,"Serguieva Antoaneta, Steven Wright Craig",24/08/2020,24/08/2020,16/03/2022,,https://patents.google.com/patent/GB2598714A/en,
GB-2596334-A,User device configuration ,British Telecomm,"Abu-Tair Mamun, Ali Aftab, Rafferty Joseph, Ducatel Gery, Cui Zhan, Morrow Philip, Ullah Hanif",25/06/2020,25/06/2020,29/12/2021,,https://patents.google.com/patent/GB2596334A/en,
GB-2596335-A,Network access determination for user device ,British Telecomm,"Abu-Tair Mamun, Ducatel Gery, Cui Zhan, Ali Aftab, Rafferty Joseph, Ullah Hanif, Morrow Philip",25/06/2020,25/06/2020,29/12/2021,,https://patents.google.com/patent/GB2596335A/en,
GB-2596096-A,Agreements on the blockchain ,Nchain Holdings Ltd,"Owen Davies Jack, Joseph Daniel, Steven Wright Craig",17/06/2020,17/06/2020,22/12/2021,,https://patents.google.com/patent/GB2596096A/en,
GB-2595888-A,Performance-based network fault localisation ,British Telecomm,"Roscoe Jonathan, Gelardi Gabriele",09/06/2020,09/06/2020,15/12/2021,,https://patents.google.com/patent/GB2595888A/en,
GB-2594328-A,Secure ultrasound system ,Novosound Ltd,Hughes David,24/04/2020,24/04/2020,27/10/2021,,https://patents.google.com/patent/GB2594328A/en,
GB-2593725-A,Improvements to digital transactions using quantum technology ,British Telecomm,"White Catherine, Roscoe Jonathan",31/03/2020,31/03/2020,06/10/2021,,https://patents.google.com/patent/GB2593725A/en,
GB-2592211-A,Adapting connections of a layered network ,Nchain Holdings Ltd,"Vaughan Owen, Owen Davies Jack, Steven Wright Craig",19/02/2020,19/02/2020,25/08/2021,,https://patents.google.com/patent/GB2592211A/en,
GB-2591805-A,Journey validation tool ,Beaconsoft Ltd,"Lawrence Boutcher Stewart, Anthony Townend Michael, Paul Bridges Nigel",07/02/2020,07/02/2020,11/08/2021,,https://patents.google.com/patent/GB2591805A/en,
GB-2596502-A,Crypto-jacking detection ,British Telecomm,"Kallos George, El-Moussa Fadi",06/01/2020,06/01/2020,05/01/2022,,https://patents.google.com/patent/GB2596502A/en,
GB-2588812-A,Data block modification ,Jitsuin Ltd,"Geater Jonathan, Ahmed-Rengers Mansoor",08/11/2019,08/11/2019,12/05/2021,,https://patents.google.com/patent/GB2588812A/en,
GB-2584159-A,"Video delivery method, device and system ",Datahop Labs Ltd,"Psarras Ioannis, Rene Sergi, Krol Michal, Kutscher Dirk",24/05/2019,24/05/2019,25/11/2020,,https://patents.google.com/patent/GB2584159A/en,
GB-2584816-A,"Animal chipping apparatus, and methods for use ","Roper Joanne, Pony Sam","Roper Joanne, Pony Sam",27/03/2019,27/03/2019,23/12/2020,,https://patents.google.com/patent/GB2584816A/en,
GB-2582309-A,Distributed computing with heat transfer ,Fumarii Tech Ltd,Birkinshaw Rhys,18/03/2019,18/03/2019,23/09/2020,,https://patents.google.com/patent/GB2582309A/en,
GB-2609275-A,Incident-based management system for new engineering contract ,Keung Ng Chun,Keung Ng Chun,30/06/2021,14/03/2022,01/02/2023,,https://patents.google.com/patent/GB2609275A/en,
GB-2615598-A,Attesting to a set of unconsumed transaction outputs ,Nchain Licensing Ag,"Patrick Coughlan Steven, Owen Davies Jack, Zhang Wei",15/02/2022,15/02/2022,16/08/2023,,https://patents.google.com/patent/GB2615598A/en,
GB-2609720-A,Hybrid decision-making method and device for autonomous driving and computer storage medium ,Univ Xidian,"Fu Yuchuan, Li Changle, Zhao Pincan",31/05/2021,31/05/2022,15/02/2023,,https://patents.google.com/patent/GB2609720A/en,
GB-2610783-A,Computer implemented system and method to create wisdom network ,Mahammad Sohail,Mahammad Sohail,19/05/2020,14/05/2021,15/03/2023,,https://patents.google.com/patent/GB2610783A/en,
GB-2596941-A,Systems and processes for management of digital or physical assets via distributed ledger ,"David Tucker Luke, John Pickard Elliott","David Tucker Luke, John Pickard Elliott",09/04/2019,09/04/2020,12/01/2022,,https://patents.google.com/patent/GB2596941A/en,
GB-2596031-A,Credential verification ,Truu Ltd,Wickes Simon,04/12/2018,04/12/2018,22/12/2021,,https://patents.google.com/patent/GB2596031A/en,
GB-2569839-A,Mounting apparatus for an IT device ,Ecocooling Ltd,Beresford Alan,08/12/2017,24/08/2018,03/07/2019,,https://patents.google.com/patent/GB2569839A/en,
GB-2572343-A,Running controlled processes of cryptocurrency software on a videogame system which adopts using and generating cryptocurrency assets on a game console ,Kazimierz Szymanek Dariusz,Kazimierz Szymanek Dariusz,26/03/2018,26/03/2018,02/10/2019,,https://patents.google.com/patent/GB2572343A/en,
